Topic,Count,Name,Representation,Llama2,Representative_Docs
-1,3408,-1_data_based_learning_problem,"['data', 'based', 'learning', 'problem', 'time', 'paper', 'results', 'algorithm', 'network', 'proposed']","['Computational complexity in machine learning and data analysis', '', '', '', '', '', '', '', '', '']","['labeled graph data types however , the design of effective learning and mining procedures operating in the space of labeled graphs is still a challenging problem , especially from the computational complexity viewpoint in this paper , we present a major improvement of a general purpose graph classification system ,', 'neither the transmitters nor the receiver has perfect channel state information , but there is a low rate feedback link from the receiver to the transmitters in this setting , a framework is proposed for systematically analyzing the performance of distributed beamforming schemes to illustrate the advantage of this framework', 'learning based long short term memory architecture that is capable of learning long term temporal dependencies that occur in software evolution such deep learned patterns of software can be used to address a range of challenging problems such as code and task recommendation and prediction deepsoft provides a new approach']"
0,736,0_codes_coding_decoding_code,"['codes', 'coding', 'decoding', 'code', 'channel', 'rate', 'error', 'capacity', 'channels', 'binary']","['\nError Correction Codes and Channels', '', '', '', '', '', '', '', '', '']","['the relation between parity check matrices of quasi cyclic \\( qc \\) low density parity check \\( ldpc \\) codes and biadjacency matrices of bipartite graphs supports searching for powerful ldpc block codes using the principle of tailbiting , compact representations of bipartite graphs based on convolutional codes can be', 'constant dimension codes \\( cdcs \\) have been investigated for noncoherent error correction in random network coding the maximum cardinality of cdcs with given minimum distance and how to construct optimal cdcs are both open problems , although cdcs obtained by lifting gabidulin codes , referred to as kk codes', 'low density parity check \\( ldpc \\) codes are one of the most promising families of codes to replace the goppa codes originally used in the mceliece cryptosystem in fact , it has been shown that by using quasi cyclic low density parity check \\( qc ldpc \\) codes in']"
1,593,1_graph_graphs_vertices_vertex,"['graph', 'graphs', 'vertices', 'vertex', 'number', 'edge', 'connected', 'set', 'problem', 'path']","['Graph Identifiability and Minor Closed Classes', '', '', '', '', '', '', '', '', '']","['\\) where g is a graph whose maximum degree is at most d , with no induced subgraph in cal s and x , y in v \\( g \\) are two non adjacent vertices of degree 2 the question is does g contain an induced cycle passing through x', 'which are k h minor free , the running time is further reduced to \\( o \\( log h \\) \\) hk 2 n fixed parameter tractable algorithms that are linear in the number of vertices of the graph were previously known only for planar graphs for the families of', 'it is known that every proper minor closed class of graphs has bounded stack number \\( a k a book thickness and page number \\) while this includes notable graph families such as planar graphs and graphs of bounded genus , many other graph families are not closed under taking']"
2,583,2_sparse_matrix_recovery_signal,"['sparse', 'matrix', 'recovery', 'signal', 'sensing', 'sparsity', 'signals', 'measurements', 'noise', 'norm']","['Compressed Sensing and Sparsity', '', '', '', '', '', '', '', '', '']","['we study the use of very sparse random projections for compressed sensing \\( sparse signal recovery \\) when the signal entries can be either positive or negative in our setting , the entries of a gaussian design matrix are randomly sparsified so that only a very small fraction of the', 'we study the compressed sensing \\( cs \\) signal estimation problem where an input signal is measured via a linear matrix multiplication under additive noise while this setup usually assumes sparsity or compressibility in the input signal during recovery , the signal structure that can be leveraged is often not', 'on the sparsity level for unique sparse solution also , the restricted isometry property \\( rip \\) is statistically studied for the deterministic matrix numerical results show that the deterministic compressed sensing matrix guarantees reliable matching pursuit recovery performance for both noiseless and noisy measurements']"
3,341,3_network_networks_social_nodes,"['network', 'networks', 'social', 'nodes', 'structure', 'graph', 'degree', 'random', 'complex', 'node']","['Influential nodes in complex networks', '', '', '', '', '', '', '', '', '']","['nodes in the network the important the node to the whole networks the simulation on four real networks show that the proposed method is efficacious and rationality to identify the influential nodes in the complex networks', 'the structure entropy is an important index to illuminate the structure prop erty of the complex network most of the existing structure entropies are based on the degree distribution of the complex network but the structure entropy based on the degree can not illustrate the structure property of the weighted', 'degree distribution of nodes , especially a power law degree distribution , has been regarded as one of the most significant structural characteristics of social and information networks node degree , however , only discloses the first order structure of a network higher order structures such as the edge embeddedness']"
4,302,4_text_word_words_corpus,"['text', 'word', 'words', 'corpus', 'language', 'semantic', 'knowledge', 'document', 'similarity', 'documents']","['Natural Language Processing and Word Representation', '', '', '', '', '', '', '', '', '']","['the words in a language we consider the question , can we improve the word representations learnt using a corpora by integrating the knowledge from semantic lexicons \\? for this purpose , we propose a joint word representation learning method that simultaneously predicts the co occurrences of two words in', 'automatic text tagging is an important component in higher level analysis of text corpora , and its output can be used in many natural language processing applications in languages like turkish or finnish , with agglutinative morphology , morphological disambiguation is a very crucial process in tagging , as the', 'methods for learning word representations using large text corpora have received much attention lately due to their impressive performance in numerous natural language processing \\( nlp \\) tasks such as , semantic similarity measurement , and word analogy detection despite their success , these data driven word representation learning methods']"
5,259,5_interference_channel_capacity_interference channel,"['interference', 'channel', 'capacity', 'interference channel', 'fading', 'alignment', 'user', 'channels', 'interference alignment', 'csi']","['\nInterference Channel Capacity and Alignment', '', '', '', '', '', '', '', '', '']","['the many to one interference channel has received interest by virtue of embodying the essence of an interference network while being more tractable than the general k user interference channel in this paper , we introduce information theoretic secrecy to this model and consider the many to one interference channel', 'outer bounds on the capacity region using these bounds , we show that treating interference as noise achieves the sum capacity of the two user gaussian interference channel in a low interference regime , where the interference parameters are below certain thresholds we then generalize our techniques and results to', 'interference alignment is a transmission technique for exploiting all available degrees of freedom in the interference channel with an arbitrary number of users most prior work on interference alignment , however , neglects interference from other nodes in the network not participating in the alignment operation this paper proposes three']"
6,179,6_relay_relaying_forward_relays,"['relay', 'relaying', 'forward', 'relays', 'source', 'power', 'af', 'channel', 'destination', 'decode']","['Multi-Hop Relay Networks', '', '', '', '', '', '', '', '', '']","['we study the problem of channel pairing and power allocation in a multichannel multihop relay network to enhance the end to end data rate both amplify and forward \\( af \\) and decode and forward \\( df \\) relaying strategies are considered given fixed power allocation to the channels ,', 'we consider a three node decode and forward \\( df \\) half duplex relaying system , where the source first harvests rf energy from the relay , and then uses this energy to transmit information to the destination via the relay we assume that the information transfer and wireless power', 'relays we characterize optimal relay amplification factors and the resulting capacity regions we find that the parallel af relay mac with total transmit power of the two users p 1 p 2 p and total relay power p r is the dual of the parallel af relay bc where the']"
7,174,7_logic_semantics_calculus_lambda,"['logic', 'semantics', 'calculus', 'lambda', 'programming', 'language', 'prolog', 'logics', 'programs', 'type']","['Logic Programming and Lambda Calculus', '', '', '', '', '', '', '', '', '']","['compute a lambda calculus expression f such that f with input as g , denoted by f g , is equal to h and similarly g f h we present correctness and complexity results about these algorithms to do that we develop the notion of typed asp lambda calculus theories', 'part of the theory of logic programming and nonmonotonic reasoning concerns the study of fixed point semantics for these paradigms several different semantics have been proposed during the last two decades , and some have been more successful and acknowledged than others the rationales behind those various semantics have been', 'of our extended logic programming language this semantics is a simple variant of ld resolution when suitable conditions are satisfied this semantics agrees with ld resolution and , thus , the programs written in our extended language can be run by ordinary prolog systems our transformation rules are shown to']"
8,153,8_social_online_social networks_online social,"['social', 'online', 'social networks', 'online social', 'users', 'media', 'popularity', 'networks', 'content', 'information']","['Online Social Networks and User Behavior', '', '', '', '', '', '', '', '', '']","['an increasing fraction of today social interactions occur using online social media as communication channels recent worldwide events , such as social movements in spain or revolts in the middle east , highlight their capacity to boost people coordination online networks display in general a rich internal structure where users', 'online social networks , one may ponder questions such as \\( 1 \\) do osns indeed improve our sociability \\? \\( 2 \\) to what extent can we expand our offline social spectrum in osns \\? \\( 3 \\) can we identify some interesting user behaviors in osns \\? our', 'online social networks represent a popular and highly diverse class of social media systems despite this variety , each of these systems undergoes a general process of online social network assembly , which represents the complicated and heterogeneous changes that transform newly born systems into mature platforms however , little']"
9,147,9_checking_model checking_verification_model,"['checking', 'model checking', 'verification', 'model', 'automata', 'specification', 'systems', 'ltl', 'temporal logic', 'temporal']","['Model Checking and Temporal Logic', '', '', '', '', '', '', '', '', '']","[', checking for desirable temporal properties of the model \\( expressed as ltl formulas \\) , generating c code from the model \\( by refinement of promela \\) and validating the generated implementation \\( using spin \\) we argue that a state of the art model checking tool like spin', 'standard abstract model checking relies on abstract kripke structures which approximate concrete models by gluing together indistinguishable states , namely by a partition of the concrete state space strong preservation for a specification language l encodes the equivalence of concrete and abstract model checking of formulas in l we show', 'temporal logic model checking is a verification method in which we describe a system , the model , and then we verify whether some properties , expressed in a temporal logic formula , hold in the system it has many industrial applications in order to improve performance , some tools']"
10,141,10_games_game_player_payoff,"['games', 'game', 'player', 'payoff', 'players', 'equilibrium', 'equilibria', 'nash', 'winning', 'strategy']","['Games and Equilibrium', '', '', '', '', '', '', '', '', '']","['2 5 player parity games combine the challenges posed by 2 5 player reachability games and the qualitative analysis of parity games these two types of problems are best approached with different types of algorithms strategy improvement algorithms for 2 5 player reachability games and recursive algorithms for the qualitative', 'edges \\( or nodes \\) forming this cycle these games are traditionally of interest because of their connection with infinite duration games such as parity and mean payoff games we study the memory requirements for winning strategies of fcgs and certain associated infinite duration games we exhibit a simple fcg', ""we introduce generalized wadge games and show that each lower cone in the weihrauch degrees is characterized by such a game these generalized wadge games subsume the original wadge games , the eraser and backtrack games as well as variants of semmes' tree games as a new example we introduce""]"
11,136,11_spectrum_cellular_d2d_cognitive,"['spectrum', 'cellular', 'd2d', 'cognitive', 'cellular networks', 'networks', 'cell', 'energy', 'secondary', 'radio']","['Energy Efficiency in Cellular Networks through Cognitive and D2D Communication', '', '', '', '', '', '', '', '', '']","['this paper considers a device to device \\( d2d \\) underlaid cellular network where an uplink cellular user communicates with the base station while multiple direct d2d links share the uplink spectrum this paper proposes a random network model based on stochastic geometry and develops centralized and distributed power control', 'while cognitive radio enables spectrum efficient wireless communication , radio frequency \\( rf \\) energy harvesting from ambient interference is an enabler for energy efficient wireless communication in this paper , we model and analyze cognitive and energy harvesting based d2d communication in cellular networks the cognitive d2d transmitters harvest', 'device to device \\( d2d \\) underlaying communication brings great benefits to the cellular networks from the improvement of coverage and spectral efficiency at the expense of complicated transceiver design with frequency spectrum sharing mode , the d2d user generates interference to the existing cellular networks either in downlink or']"
12,132,12_power_energy_allocation_battery,"['power', 'energy', 'allocation', 'battery', 'transmission', 'harvesting', 'energy harvesting', 'optimization', 'problem', 'convex']","['Energy Harvesting and Allocation in Wireless Communications', '', '', '', '', '', '', '', '', '']","['communication over a broadband fading channel powered by an energy harvesting transmitter is studied assuming non causal knowledge of energy data arrivals and channel gains , optimal transmission schemes are identified by taking into account the energy cost of the processing circuitry as well as the transmission energy a constant', 'in this paper , we consider a scenario where one energy harvesting and one battery operated sensor cooperatively transmit a common message to a distant base station the goal is to find the jointly optimal transmission \\( power allocation \\) policy which maximizes the total throughput for a given deadline', 'in this letter , we propose a practical non linear energy harvesting model and design a resource allocation algorithm for simultaneous wireless information and power transfer \\( swipt \\) systems the algorithm design is formulated as a non convex optimization problem for the maximization of the total harvested power at']"
13,122,13_bayesian_structure_models_graphical,"['bayesian', 'structure', 'models', 'graphical', 'inference', 'graphical models', 'learning', 'causal', 'bayesian networks', 'data']","['Machine Learning and Bayesian Inference in Graphical Models', '', '', '', '', '', '', '', '', '']","['in this paper , we discuss the method of bayesian regression and its efficacy for predicting price variation of bitcoin , a recently popularized virtual , cryptographic currency bayesian regression refers to utilizing empirical data as proxy to perform bayesian inference we utilize bayesian regression for the so called latent', 'bayesian networks are basic graphical models , used widely both in statistics and artificial intelligence these statistical models of conditional independence structure are described by acyclic directed graphs whose nodes correspond to \\( random \\) variables in consideration a quite important topic is the learning of bayesian network structures ,', 'various approximations to the bayesian score in this paper , i extend structural em to deal directly with bayesian model selection i prove the convergence of the resulting algorithm and show how to apply it for learning a large class of probabilistic models , including bayesian networks and some variants']"
14,116,14_peer_security_trust_p2p,"['peer', 'security', 'trust', 'p2p', 'protocol', 'peer peer', 'internet', 'protocols', 'attacks', 'reputation']","['Peer-to-Peer Security Protocols', '', '', '', '', '', '', '', '', '']","['peer to peer \\( p2p \\) data sharing systems now generate a significant portion of internet traffic p2p systems have emerged as a popular way to share huge volumes of data requirements for widely distributed information systems supporting virtual organizations have given rise to a new category of p2p systems', 'peer to peer \\( p2p \\) computing is currently attracting enormous attention in p2p systems a very large number of autonomous computing nodes \\( the peers \\) pool together their resources and rely on each other for data and services peer to peer \\( p2p \\) data sharing systems now', ', confidentiality , access control , denial of service , service availability , safety aspects , fault tolerance , trust , language based security , probabilistic and information theoretic models \\) in emerging fields like web services , mobile ad hoc networks , agent based infrastructures , peer to peer']"
15,108,15_citation_scientific_science_journals,"['citation', 'scientific', 'science', 'journals', 'impact', 'papers', 'journal', 'citations', 'cited', 'index']","['Citation analysis of scientific journals', '', '', '', '', '', '', '', '', '']","['individual researchers , scopus helps distinguish between the researchers in a more nuanced fashion than web of science in both citation counting and h index scopus also generates significantly different maps of citation networks of individual scholars than those generated by web of science the study also presents a comparison', 'and social science citation index art journals are cited by \\( social \\) science journals more than by other art journals , but these journals draw upon one another in terms of their own references this cultural impact in terms of being cited is not found when documents with a', 'data contained in the web of science and is used for the evaluation of two journals as examples leonardo and art journal the maps on the basis of the aggregated journal journal citations within this domain can be compared with maps including references to journals in the science citation index']"
16,106,16_algorithm_mathcal_algorithms_proposed,"['algorithm', 'mathcal', 'algorithms', 'proposed', 'methods', 'numerical', 'method', 'proposed algorithm', 'al', 'results']","['Algorithmic Improvements for Numerical Methods', '', '', '', '', '', '', '', '', '']","['simulation results show our proposed algorithm achieves a substantial performance improvement over existing methods in terms of both the papr reduction and computational complexity', 'let text optmax mathcal d \\( resp text optch mathcal d \\) be the expected depth of an emph optimal linear comparison tree computing the maxima \\( resp convex hull \\) for mathcal d our maxima algorithm eventually achieves expected running time o \\( text optmax mathcal d n \\)', 'taper \\( cmt \\) is proposed for practical applications , a reduced dimension version of the proposed ka stap algorithm is also developed the simulation results illustrate the effectiveness of our proposed algorithms , and show that the proposed algorithms converge rapidly and provide a sinr improvement over existing methods']"
17,105,17_parallel_gpu_hardware_gpus,"['parallel', 'gpu', 'hardware', 'gpus', 'core', 'computing', 'algorithms', 'implementation', 'multi core', 'finite element']","['High-performance computing for geospatial processing', '', '', '', '', '', '', '', '', '']","['optimization and differences between the new gpu algorithm and its variants are then subsequently studied lastly , both new and current spmv gpu algorithms are utilized in the gpu cg solver in gpu finite element simulations of the heart these results are then compared against parallel petsc finite element implementation', 'available simd computing power on vector processing units \\( vpus \\) that come with multi core cpus and mics , multi core cpus and mics can be several times faster than gpus when vpus are utilized by adopting a domain specific language \\( dsl \\) approach to exploiting the vpu', 'engineering and urban studies commodity parallel hardware , such as multi core cpus , many core gpus and intel mic accelerators , provide enormous computing power which can potentially achieve significant speedups on existing geospatial processing and open the opportunities for new applications however , the realizable potential for geospatial']"
18,105,18_deep_neural_neural networks_learning,"['deep', 'neural', 'neural networks', 'learning', 'deep learning', 'networks', 'training', 'network', 'deep neural', 'neural network']","['Deep Learning and Neural Networks', '', '', '', '', '', '', '', '', '']","['we present a work in progress snapshot of learning with a 15 billion parameter deep learning network on hpc architectures applied to the largest publicly available natural image and video dataset released to date recent advancements in unsupervised deep neural networks suggest that scaling up such networks in both model', 'choice , with most extensions dealing with the inherent performance limitations over a potentially infinite stream at the same time , gradient descent methods are becoming increasingly popular , owing in part to the successes of deep learning although deep neural networks can learn incrementally , they have so far', 'great successes of deep neural networks have been witnessed in various real applications many algorithmic and implementation techniques have been developed , however , theoretical understanding of many aspects of deep neural networks is far from clear a particular interesting issue is the usefulness of dropout , which was motivated']"
19,104,19_secrecy_eavesdropper_wiretap_channel,"['secrecy', 'eavesdropper', 'wiretap', 'channel', 'secrecy capacity', 'legitimate', 'wiretap channel', 'capacity', 'rate', 'transmitter']","['Secrecy Capacity of Wiretap Channels', '', '', '', '', '', '', '', '', '']","['bound on the secrecy capacity of the compound wiretap channel without channel state information', "", having access to the same shared source of randomness as the transmitter , can resynchronize the received sequence on the other hand , the eavesdropper 's channel remains a synchronization error channel we prove a secrecy capacity theorem , provide a lower bound on the secrecy capacity , and"", 'we derive a lower bound on the secrecy capacity of the compound wiretap channel with channel state information at the transmitter which matches the general upper bound on the secrecy capacity of general compound wiretap channels given by liang et al and thus establishing a full coding theorem in this']"
20,103,20_entropy_concentration_inequalities_inequality,"['entropy', 'concentration', 'inequalities', 'inequality', 'information', 'measures', 'shannon', 'fisher', 'random variables', 'properties']","['Information Theory and Concentration Inequalities', '', '', '', '', '', '', '', '', '']","['independent random variables , and there exist several powerful complementary methods for proving concentration inequalities , such as the martingale method , the entropy method , and the method of transportation inequalities the setting of dependent arguments is much less well understood this chapter focuses on the martingale method for', 'well as codes for wireless communication the second part of the monograph introduces the entropy method , an information theoretic technique for deriving concentration inequalities the basic ingredients of the entropy method are discussed first in the context of logarithmic sobolev inequalities , which underlie the so called functional approach', ""while most useful information theoretic inequalities can be deduced from the basic properties of entropy or mutual information , up to now shannon 's entropy power inequality \\( epi \\) is an exception existing information theoretic proofs of the epi hinge on representations of differential entropy using either fisher information""]"
21,94,21_policy_control_optimal_value function,"['policy', 'control', 'optimal', 'value function', 'optimal control', 'value', 'function', 'markov decision', 'policies', 'reinforcement learning']","['Value Function Learning in Markov Decision Processes', '', '', '', '', '', '', '', '', '']","['in this theoretical paper we are concerned with the problem of learning a value function by a smooth general function approximator , to solve a deterministic episodic control problem in a large continuous state space it is shown that learning the gradient of the value function at every point along', 'upper bound for the optimal value function of the original markov decision process \\( mdp \\) as a key result , we show that this approximate value function is it independent of the non negative cost function \\( or state dependent weights as it is referred to in the literature', 'we consider the discrete time infinite horizon optimal control problem formalized by markov decision processes we revisit the work of bertsekas and ioffe , that introduced lambda policy iteration , a family of algorithms parameterized by lambda that generalizes the standard algorithms value iteration and policy iteration , and has']"
22,91,22_mimo_antennas_massive_massive mimo,"['mimo', 'antennas', 'massive', 'massive mimo', 'antenna', 'mimo systems', 'number', 'channel', 'multiple', 'quantization']","['Massive MIMO Systems and Channel Estimation', '', '', '', '', '', '', '', '', '']","['to fully utilize the spatial multiplexing gains or array gains of massive mimo , the channel state information must be obtained at the transmitter side \\( csit \\) however , conventional csit estimation approaches are not suitable for fdd massive mimo systems because of the overwhelming training and feedback overhead', 'have showed the potential of massive mimo in practice we investigate the properties of measured massive mimo channels in a large indoor venue we describe a measurement campaign using 3 arrays having different shape and aperture , with 64 antennas and 8 users with 2 antennas each we focus on', 'in this paper , we investigate the quantization and the feedback of downlink statistical channel information for massive multiple input multiple output \\( mimo \\) systems with cascaded precoding massive mimo has gained a lot of attention recently because of its ability to significantly improve the network performance to reduce']"
23,91,23_cloud_computing_cloud computing_mobile,"['cloud', 'computing', 'cloud computing', 'mobile', 'spreadsheets', 'service', 'users', 'devices', 'services', 'architecture']","['Cloud Computing and Mobile Devices', '', '', '', '', '', '', '', '', '']","[""be located cloud computing might sound far fetched , but chances are you 're already using some cloud applications if you 're using a web based email program , such as gmail or hotmail , you 're computing in the cloud if you 're using a web based application such"", ""computing as you know it is about to change , your applications and documents are going to move from the desktop into the cloud i'm talking about cloud computing , where applications and files are hosted on a cloud consisting of thousands of computers and servers , all linked together"", 'through the prism of cloud computing principles we give a definition of mobile cloud coputing and provide an overview of the results from this review , in particular , models of mobile cloud applications we also highlight research challenges in the area of mobile cloud computing we conclude with recommendations']"
24,87,24_abelian_functions_word_mathbb,"['abelian', 'functions', 'word', 'mathbb', 'ring', 'attack', 'lwe', 'words', 'boolean functions', 'diophantine']","['Diophantine properties of abelian functions', '', '', '', '', '', '', '', '', '']","['mathbb k is prime bfhhl13 and when the property is linear ks08 moreover , we show that for any fixed finite field mathbb f , an affine invariant property of functions f mathbb k n to mathbb f , where mathbb k is a growing field extension over mathbb f', 'interested in abelian and weak abelian analogues of this result namely , we investigate the following question \\( s \\) let w be an infinite word such that all sufficiently long factors are \\( weakly \\) abelian bordered is w \\( weakly \\) abelian periodic \\? in the process we', 'we study the maximal exponent of abelian powers and abelian repetitions occurring in infinite sturmian words more precisely , we give a formula for computing the maximal exponent of an abelian power of period m occurring in any sturmian word s alpha of rotation angle alpha , and a formula']"
25,85,25_application_concerns_screening_project,"['application', 'concerns', 'screening', 'project', 'program', 'research', 'software', 'crosscutting', 'methods', 'workshop']","['Software System Understandability', '', '', '', '', '', '', '', '', '']","['three interesting combinations of these three techniques , and show how these combinations provide a more complete coverage of the detected concerns as compared to the original techniques individually our results are a first step towards improving the understandability of a system that contains crosscutting concerns , and can be', 'the activities of those organizations , but they need more concise paradigm to support both types of collaboration synchronous and asynchronous this paper introduces the new preusability testing method that provides educational support and gives complete picture for developing new pedagogical group application for mcl the feature of application includes', 'are easy to identify , crosscutting concerns are not captured by a single program entity but are scattered over many program entities and are tangled with the other concerns because of their crosscutting nature , such crosscutting concerns are difficult to identify , and reduce the understandability of the system']"
26,82,26_quantum_entanglement_classical_unitary,"['quantum', 'entanglement', 'classical', 'unitary', 'amplitude amplification', 'amplification', 'amplitude', 'correlations', 'ancilla', 'states']","['Quantum Computation and Entanglement', '', '', '', '', '', '', '', '', '']","[""we review some of quantum algorithms for search problems grover 's search algorithm , its generalization to amplitude amplification , the applications of amplitude amplification to various problems and the recent quantum algorithms based on quantum walks"", 'we discuss classical and quantum computations in terms of corresponding hamiltonian dynamics this allows us to introduce quantum computations which involve parallel processing of both the data and programme instructions using mixed quantum classical dynamics we look for a full cost of computations on quantum computers with classical terminals', 'it is conjectured that quantum computers are able to solve certain problems more quickly than any deterministic or probabilistic computer a quantum computer exploits the rules of quantum mechanics to speed up computations however , it is a formidable task to build a quantum computer , since the quantum mechanical']"
