Topic,Count,Name,Representation,Llama2,Representative_Docs
-1,11470,-1_product_like_toy_just,"['product', 'like', 'toy', 'just', 'use', 'great', 'little', 'skin', 'does', 'hair']","['Parenting products and preferences', '', '', '', '', '', '', '', '', '']","[""short sexy hair short sexy gel hard up ( select option size ) if you have short hair and do n't want 1 strand to move this is the stuff . excellent product that is easy to wash out and works like concrete . best product i 've ever used"", 'hot tools professional curling iron with multi heat control if you need big curls , quickly , use this product . beware , it gets very , very hot . simply and quick to use .', ""my lip stuff tube over 600 lipbalm flavors available i have lemonade ice cream , gummy bear , and banana cheesecake . my little girl love 's these as much as i do , the first one we choose to try was gummy bear and she said it is like""]"
0,913,0_game_cards_games_card,"['game', 'cards', 'games', 'card', 'fun', 'play', 'board', 'deck', 'played', 'playing']","['Family-friendly card games', '', '', '', '', '', '', '', '', '']","[""my mash game this game is so fun it 's the coolest game i 've ever played . everyone should have this game my mom played this game back in the days and she even say it 's cool . anyone who wants a great game to play you should"", 'monopoly the card game i purchased this card game as a spur of the moment christmas gift for my son who loves monopoly but can get no one to play the board game because of how long the board game version takes . my son as well as the rest', ""spite and malice card game i do n't think there 's a better two person card game , that is , a card game that is as much fun with two persons as it is for four or more to play ! ever notice how many games almost require fouror""]"
1,454,1_collar_dog_leash_bark,"['collar', 'dog', 'leash', 'bark', 'dog collar', 'collars', 'leader', 'dogs', 'gentle leader', 'petsafe']","['Dog training collars and their effectiveness', '', '', '', '', '', '', '', '', '']","[""petsafe premier gentlespray citronella anti bark dog collar this device worked when nothing else did . it works on both of our pomeranians . they were constant barkers . they 're smart dogs and still bark when then collar is off , but never make a peep when it 's"", ""gentle leader head collar which is the greatest dog collar harness ever made . the easy walk helps the pulling , but the gentle leader head collar eliminates it . it 's a catch 22 . go with the easy walk and still have a bit of pulling , but"", 'petsafe premier gentlespray citronella anti bark dog collar while it was operative it worked to stop the barking but unfortunately the unit stopped spraying after only 4 days .']"
2,427,2_tea_tea bags_bags_teas,"['tea', 'tea bags', 'bags', 'teas', 'green tea', 'black tea', 'count', 'count tea', 'green', 'bags pack']","['Yogi Tea Varieties', '', '', '', '', '', '', '', '', '']","[""stash green white tea blends , 18 or 20 count tea bags ( pack of 6 ) delicious stuff . no joke . i actually like this tea .. i 'm not exactly a tea drinker , but i drink it at least one thing of tea a day .."", 'yogi echinacea immune support , herbal tea supplement , 16 count tea bags ( pack of 6 ) this tea is wonderful and is caffeine free so you can drink it before bed , enjoy it very much . also reccommend the green tea antioxidant .', 'yogi chai green , herbal tea supplement , 16 count tea bags ( pack of 6 ) have been "" addicted "" to this tea for many years . i even take a few bags with me on vacation ... am so happy to find it cheaper here at amazon']"
3,418,3_eau_women_eau toilette_toilette,"['eau', 'women', 'eau toilette', 'toilette', 'spray', 'cologne', 'perfume', 'toilette spray', 'men', 'parfum']","['Perfumes and Colognes for Women', '', '', '', '', '', '', '', '', '']","['venezia pastello perfume by laura biagiotti for women . eau de toilette spray 2.5 oz 75 ml a very unique fragrance feminine but not sweet or weak , rather for a strong but tender and classy women . too bad it has been discontinued .', ""amarige for women by givenchy eau de toilette spray survey of family and friends was quite positive about givenchys' amarige' floral eau de toilet spray . we love it 's delicate notes of spring . thanks . niki"", 'realities by liz claiborne eau de toilette spray 3.4 oz ( women ) i had ordered the cologne and it was great .. but this perfume must have gotten oxidized , because it smelled sour ... 34 turned stale . 34']"
4,413,4_dog toy_dog_ball_toy,"['dog toy', 'dog', 'ball', 'toy', 'kong', 'chew', 'puppy', 'treat', 'toys', 'squeaker']","['Dog Toys and Treats', '', '', '', '', '', '', '', '', '']","['kong material dog dr . noys\' dog toy our chihuahua terrier mix absolutely loves this toy . but beware ...... we have to have supervised play with her while using this toy . as in the "" disappointed "" review she will chew a hole in the toy within 5', 'kong air kong q tease dog toy , rooster , medium i purchased this for my 5 month old olde english bulldogge puppy she is a large puppy and loves to chew ! she destroys most items but not the kong items ! she loves her crow toy ! it', 'kong classic kong dog toy , red the kong toy is the best dog toy i have ever purchased . i bought one for my golden retreiver when he was a puppy and five years later , the kong is still his favorite toy . even better , the kong']"
5,388,5_doll_barbie_dolls_bratz,"['doll', 'barbie', 'dolls', 'bratz', 'scene', 'cute', 'girl', 'dress', 'pink', 'girls']","[""Girls' fashion dolls: Barbie vs Bratz"", '', '', '', '', '', '', '', '', '']","[""suck , bratz rock . my scene are wanna be , poser dolls , and bratz are n't . the doll is ugly , and bratz are pretty . bottom line"", ""bratz strut it ! collection this is the best cloe doll ever ! she has a hot clothes and i like her a lot . she is a nice doll even better than ol' lame barbie dolls . barbie has to grow up like bratz ."", ""bratz treasure pirate doll yasmin ilove this bratz doll . i named her michelle . she is one of my favorite bratz dolls . and to all u bratz haters , what the heck are u doing here . should n't u be trash talking on barbie mermadia or something""]"
6,381,6_litter_litter box_box_cat,"['litter', 'litter box', 'box', 'cat', 'scoop', 'littermaid', 'cats', 'self', 'self cleaning', 'cleaning']","['Litter Box Reviews and Comparison', '', '', '', '', '', '', '', '', '']","['scoopfree self cleaning litter box in the past had the litter maid brand always had problems . this litter box had worked efficiently from the beginning . there was no need to meld the litter from the old box to this new one . our cat went immediately to the', ""littermaid elite basic self cleaning litter box one of the worst designs imaginable . wo n't scoop even a clean litter box , much less any clumps from cat waste . if you want a self cleaning litter box that is n't self cleaning , go ahead and buy this"", '. i have found no problem with the top not adhering to the bottom of the litter box , although i would never carry a litter box by its handle as with the litter in the litter box this makes the litter box way too heavy to depend on a']"
7,311,7_price_worth_recommend_money,"['price', 'worth', 'recommend', 'money', 'purchase', 'quality', 'product', 'highly recommend', 'highly', 'buy']","['Product reviews and recommendations', '', '', '', '', '', '', '', '', '']","[""it alot , so i guess it was worth the money . at the current amazon price , you really ca n't go wrong ."", 'been such a help . highly recommend .', '. i highly recommend this 4 pack !']"
8,259,8_vitamin_vitamins_energy_weight,"['vitamin', 'vitamins', 'energy', 'weight', 'taking', 'supplements', 'supplement', 'source', 'capsules', 'weight loss']","['Weight Loss Supplements', '', '', '', '', '', '', '', '', '']","['one a day womens active metabolism multivitamin 165 tablets i was very excited to take this vitamin hoping it would give me a boost of energy . i took the vitamin after eating and within 5 minutes i threw it all up ! ! an hour later and i still', 'lipovarin 150 caps thermogenic weight loss diet pill i have had extreme success with lipovarin . i just hope i can maintain my weight loss after i stop taking it !', 'metabolic thyrolean , twinpack , 120 120 caps i guess i was hoping for that "" magic pill "" that would get me jump started on my weight loss . this product was n\'t it . no noticeable weight loss , minimal boost of metabolism and energy . i \'m']"
