Topic,Count,Name,Representation,Llama2,Representative_Docs
-1,7393,-1_team_season_football_born,"['team', 'season', 'football', 'born', 'league', 'national', 'coach', 'new', 'university', 'river']","['Athletics and Sports Teams', '', '', '', '', '', '', '', '', '']","['to california . end harry ebding was selected by both the associated press and the united press as first team player on the 1930 all pacific coast football team .', 'allen eugene edwards ( born december 16 , 1975 ) is a retired american basketball player and current coach . he is best known for winning two ncaa championships at the university of kentucky as a player . edwards is currently the head basketball coach at the university of wyoming', 'paul preston "" pepper "" sheeks ( october 18 , 1889 september 17 , 1968 ) was an american football and basketball player and coach . he played professional football with the akron pros of the national football league ( nfl ) 1922 and 1923 . before he joined the']"
0,1354,0_album_song_band_released,"['album', 'song', 'band', 'released', 'label', 'music', 'single', 'records', 'albums', 'chart']","['Music releases and charts', '', '', '', '', '', '', '', '', '']","['"" you are unstoppable "" is a song by austrian pop singer conchita wurst . the song was released as a single on 20 february 2015 on radio , and was included on her debut studio album released in may 2015 . the song was made available on amazon .', 'the group released their d but album ultrabeat the album in 2007 , which peaked at number eight on the uk albums chart in 2008 , ultrabeat released "" discolights "" , a collaboration with darren styles , which peaked at number twenty three on the uk singles chart .', ""band 's 1999 song of the same title . the single peaked at number five on the oricon singles chart .""]"
1,608,1_channel_station_radio_fm,"['channel', 'station', 'radio', 'fm', 'television', 'broadcasting', 'network', 'tv', 'radio station', 'programming']","['Media and Broadcasting Stations', '', '', '', '', '', '', '', '', '']","['wvtv , virtual channel and uhf digital channel 18 , is a cw affiliated television station located in milwaukee , wisconsin , united states . the station is owned by the sinclair broadcast group , as part of a duopoly with mynetworktv affiliate wcgv tv ( channel 24 ) .', 'wtiu , virtual channel 30 ( uhf digital channel 14 ) , is a pbs member television station located in bloomington , indiana , united states . the station is owned by indiana university , and is a sister station to npr member radio station wfiu ( 103 . 7', ""( for the winnipeg radio station , see cjzz fm . ) 97 . 4 cool fm is a commercial radio station , based in newtownards , northern ireland . the station is owned and operated by bauer radio and forms part of bauer 's city network of stations .""]"
2,577,2_line_route_highway_transit,"['line', 'route', 'highway', 'transit', 'railway', 'state', 'state route', 'rail', 'ny', 'state highway']","['State Highways and Transit Routes', '', '', '', '', '', '', '', '', '']","['new york state route 12 ( ny 12 ) is a state highway extending for 222 . 27 miles ( 357 . 71 km ) through central and northern new york in the united states . the southern terminus of the route is at u.s . route 11 ( us', 'new york state route 89 ( ny 89 ) is a north south state highway in central new york in the united states . it extends for 62 . 35 miles ( 100 . 34 km ) from an intersection with ny 13 , ny 34 , and ny 96', 'kilometre route is the only operational light rail line in sydney . most of the line is built on the path of the former metropolitan goods railway line , opening in stages between 1997 and 2014 . operation and maintenance of the line is contracted to the altrac light rail']"
3,576,3_school_students_education_high school,"['school', 'students', 'education', 'high school', 'schools', 'college', 'university', 'high', 'secondary', 'pupils']","['Public high schools in the United States', '', '', '', '', '', '', '', '', '']","['arcadia high school is a public high school located in greece , new york , serving grades 9 12 . it is one of four high schools in the greece central school district . the school was built in 1963 and the new arcadia middle school was connected to it', ""grades , plus a small post graduate class . the school has been accredited by the middle states association of colleges and schools commission on secondary schools since 1928 . in its 2015 rankings , business insider ranked the school 's tuition as the 18th most expensive private high school"", ""algonquin regional high school is a public high school located in northborough , massachusetts . the school serves the students of the northborough southborough regional school district ( nsrsd ) comprising both northborough and neighboring southborough . the school 's mascot is the tomahawk , but known by many as""]"
4,451,4_airport_airline_air_airlines,"['airport', 'airline', 'air', 'airlines', 'international airport', 'flights', 'iata', 'icao', 'international', 'aviation']","['Air travel and transportation', '', '', '', '', '', '', '', '', '']","[') . westerly state airport is one of six active airports operated by the rhode island airport corporation . the other five airports include t.f . green state airport , newport state airport , north central state airport , quonset state airport , and block island state airport .', ""airasia india have hubs in don mueang international airport , soekarno hatta international airport , ninoy aquino international airport , and kempegowda international airport respectively , while its sister airline , airasia x , focuses on long haul routes . airasia 's registered office is in petaling jaya , selangor"", 'international airport ( ruh ) and dammam king fahd international airport ( dmm ) are secondary hubs . the new dammam airport was opened for commercial use on 28 november 1999 . dhahran international airport in use until then , has reverted to being used as a military base .']"
5,447,5_married_daughter_count_son,"['married', 'daughter', 'count', 'son', 'henry', 'died', 'wife', 'duke', 'king', 'earl']","['Medieval nobility and royalty', '', '', '', '', '', '', '', '', '']","[""brother , thomas neville , and a sister , joan neville , wife of sir james radcliffe . neville 's maternal grandfather , john bourchier , 1st baron berners , was the fourth son of william bourchier , 1st count of eu in normandy , and his wife anne of"", 'the market there . before 992 , william married emma , daughter of rotbold iii of provence . from her he gained titles and lands to provence . from a prior marriage , he had two sons , raymond and hugh , who died young . his eldest son by', 'archbishop of cologne , after which king henry iv gave the duchy to godfrey . his first wife was gerberga ( died c . 1049 ) , daughter of eustace i , count of boulogne . they had a daughter named jutta , who married waleran , count of arlon']"
6,329,6_tour_golf_pga_pga tour,"['tour', 'golf', 'pga', 'pga tour', 'open', 'golfer', 'professional golfer', 'professional', 'european tour', 'championship']","['Professional Golfers and Major Championships', '', '', '', '', '', '', '', '', '']","['justin peter rose ( born 30 july 1980 ) is an english professional golfer who plays most of his golf on the pga tour , while keeping his membership on the european tour . he won his first major championship at the 2013 u.s . open at merion golf club', 'david feherty ( born 13 august 1958 ) is a former professional golfer on the european tour and pga tour . since retiring , he has worked as a television personality from 1997 through 2015 , feherty served as an on course reporter for the pga tour on cbs .', 'member of the pga tour in 2004 and 2007 . he qualified for the pga tour through qualifying school both times . he won his first tournament on a professional golf tour in 2009 at the cox classic on the nationwide tour . he finished 21st on the money list']"
7,328,7_manga_series_anime_japanese,"['manga', 'series', 'anime', 'japanese', 'manga series', 'released', 'sh', 'published', 'volumes', 'anime series']","['Japanese Manga and Anime', '', '', '', '', '', '', '', '', '']","['gag manga biyori ( gyagu manga biyori , lit . good day for gag manga ) is a manga serialized in monthly sh nen jump until july 2007 when the magazine ceased to publish . the manga continued serialization in its monthly successor , jump square . the series ended', ""hanayamata ( , also stylized as hanayamata ) is a japanese manga series by s hamayumiba , serialized in houbunsha 's seinen manga magazine manga time kirara forward since june 2011 . it has been collected in eight tank bon volumes as of august 2016 . an anime television series"", 'penguin musume ( pengin musume , lit . penguin girl ) is a japanese manga series , written by manga author tetsuya takahashi . the manga was serialized in the japanese sh nen manga magazine weekly sh nen champion between 2006 and 2007 . after the manga ended serialization in']"
8,323,8_party_seats_election_elections,"['party', 'seats', 'election', 'elections', 'council', 'vote', 'irish', 'electoral', 'parliament', 'elected']","['Political parties and elections', '', '', '', '', '', '', '', '', '']","[""the share and 16 seats , losing 2.6 million votes and 8 seats from its 2009 result . the spanish socialist workers' party ( psoe ) lost 9 seats and 2.5 million votes , obtaining just 23 of the total party vote and 14 seats . this would represent the"", ""01 of the vote in the 2011 general election , with 1 , 876 votes . in 2007 the party gained three town councillors two in tardajos and one in herrad n de pinares . in tardajos it governed with the people 's party . in the 2011 local elections"", 'the 2015 united kingdom general election in scotland was held on 7 may 2015 and all 59 seats were contested under the first past the post electoral system . unlike the 2010 general election , where no seats changed party , the scottish national party ( snp ) managed to']"
