Topic,Count,Name,Representation,Llama2,Representative_Docs
-1,1226,-1_said_percent_vs_tuesday,"['said', 'percent', 'vs', 'tuesday', 'million', 'market', 'year', 'company', 'shares', 'september']","['Financial news and market trends', '', '', '', '', '', '', '', '', '']","['Yr ended June 30 (million rand unless stated) Shr before exceps (cts) 357.0 vs 306.0 Div (cts) 102.0 vs 88.0 Pre-exceps income 229.5 vs 196.9 Exceptional items 4.2 vs 52.5 Pre-tax 302.1 vs 282.2 Interest paid 87.2 vs 57.3 Turnover 3,320.0 vs 2,978.7Div payable Oct 4on register Sept 7Full name:', 'A group led by New York investment manager Mario Gabelli said Tuesday it cut its stake in Triad Systems Corp to 1,184,700 common shares or 6.7 percent from 8 percent previously.In a filing with the Securities and Exchange Commission, the group said its latest transactions include net sales of 169,000', 'Yr ended June 30 (million rand unless stated) Shr, attrib (cts) 393 vs 417 Div (cts) 220 vs 220 Attrib income 381 vs 402 Pre-tax 464 vs 499 Tax 35 vs 44 Interest paid 18 vs 13 Turnover 702 vs 712Div payable Sept 24on register Sept 6Full name: Gold Fields']"
0,574,0_budget_government_billion_deficit,"['budget', 'government', 'billion', 'deficit', 'tax', 'costello', '1996 97', 'dole', 'clinton', 'australian']","['\nAustralian Budget and Deficit, 1996-1997', '', '', '', '', '', '', '', '', '']","[""Australian Treasurer Peter Costello's Tuesday budget implements measures that boost the bottom line by A$3.9 billion in 1996/97, rising to A$7.2 billion in the following fiscal year.The budget contains no major fiscal surprises. Every big measure has been announced prior to the budget or widely leaked.With an estimated no-policy-change starting"", ""Australian Treasurer Peter Costello handed down the new conservative government's 1996/97 budget on Tuesday and announced an underlying deficit for the fiscal year of A$5.65 billion and a headline surplus of A$474 million. Following are a selection of economists' immediate reactions to the budget and GDP data, also released on"", ""Australia's new conservative government released its first budget on Tuesday, slashing spending to attack a chronic deficit, but honouring key election promises to support families and small business.Treasurer Peter Costello, announcing a underlying deficit of A$5.6 billion (US$4.4 billion) for the year to June 30, 1997, said tough cuts were""]"
1,338,1_yeltsin_russian_chechnya_lebed,"['yeltsin', 'russian', 'chechnya', 'lebed', 'rebels', 'chechen', 'russia', 'president', 'troops', 'kremlin']","['Russian-Chechen Conflict', '', '', '', '', '', '', '', '', '']","['Kremlin security chief Alexander Lebed, who has held talks with the rebels and opposed the use of aircraft, to rein in the troops.Yeltsin\'s special envoy to Chechnya should ""use all of his influence to stop the approaching madness"", Interfax quoted Maskhadov as saying.Itar-Tass news agency said Lebed would travel to', ""policy-making Security Council.Yeltsin has ordered Alexander Lebed, the secretary of the Security Council and his personal representative in Chechnya, to restore Russian control over the regional capital Grozny, much of which was seized by separatist rebels on August 6.Yeltsin's press secretary Sergei Yastrzhembsky said on Monday that the Kremlin leader"", 'Chechen rebel chief-of-staff Aslan Maskhadov appealed on Tuesday to Russian security supremo Alexander Lebed to prevent federal troops from using force to clear separatist fighters from the capital Grozny.Interfax news agency quoted Maskhadov as saying that Lebed, President Boris Yeltsin\'s special envoy in Chechnya, should ""use all of his influence']"
2,269,2_european_council_proposal_possibly,"['european', 'council', 'proposal', 'possibly', 'regulation', 'commission', 'contact', 'proposal council', 'conference', 'eu']","['European Union Environmental Policy', '', '', '', '', '', '', '', '', '']","['Proposal for a Council decision on Multi-Annual Guidance Programme (MAGP) IV.- (possibly) Proposal for a Council regulation on the fixing of management objectives and strategies for certain fisheries for the period 1994-1997.- (possibly) Proposal for a Council regulation amending for the sixteenth time regulation (EEC) No. 3094/86 laying down certain', '(To December 10).Provisional agenda includes:- Proposal for a decision of the European Parliament and of the Council on the review of the European Community programme of policy and action in relation to the environment and sustainable development ""Towards sustainability"".- Proposal for a Council directive amending directive 90/219/EEC on the contained', 'measures for the conservation of fishery resources in the Mediterranean.- (possibly) Proposal for a Council regulation (EC) amending regulation (EEC) No. 2847/93 establishing a control system applicable to the common fisheries policy (satellite monitoring).- Commission report on the application of the basic regulation (No. 3760/92).- (possibly) Proposal for Council regulation']"
3,209,3_fed_inflation_rates_federal,"['fed', 'inflation', 'rates', 'federal', 'rate', 'meeting', 'economy', 'fomc', 'market', 'analysts']","['\nFederal Reserve interest rate decisions and their impact on the economy', '', '', '', '', '', '', '', '', '']","[""While the Federal Reserve's Federal Open Market Committee left interest rates unchanged at its meeting Tuesday, the odds of monetary tightening are likely to mount as 1996 comes to a close, analysts said.Fed policy-makers astutely resisted pressures earlier this summer to raise short-term rates, but economic data over the next"", ""The U.S. Federal Reserve opted on Tuesday to hold interest rates steady amid signs that the economy is cooling off without inflation heating up. The decision by the central bank's policy-making Federal Open Market Committee (FOMC) had been widely expected and left the key federal funds rate that commercial banks"", ""The Federal Reserve's Federal Open Market Committee left interest rates unchanged at its meeting Tuesday, leaving economists and analysts pondering what the central bank might do next.Some analysts said that while Fed policy-makers resisted pressures this summer to raise short-term rates, economic data over the coming weeks may force them""]"
4,203,4_newsroom_00_08_johannesburg,"['newsroom', '00', '08', 'johannesburg', 'newsroom 27', '11', 'dn', '482 1003', '11 482', 'johannesburg newsroom']","['Business news from Johannesburg', '', '', '', '', '', '', '', '', '']","['levels is not expected in the immediate future,"" it added.-- Johannesburg newsroom +27 11 482 1003</', '100 existing Mobile shares held.-- Johannesburg newsroom +27 11 482 1003</', 'of South Africa Ltd-- Johannesburg newsroom +27 11 482 1003</']"
5,160,5_points_index_shares_closed,"['points', 'index', 'shares', 'closed', 'stock', 'market', 'stocks', 'fell', 'ended', 'higher']","['Stock Market Performance', '', '', '', '', '', '', '', '', '']","['Shanghai B shares ended up in slow trading on Tuesday on bargain-hunting, with investors focussing on interim results, brokers said.The index ended up 0.053 points or 0.10 percent to 51.813 points, on volume of 8.4 million shares worth $3.4 million. Of 41 B shares, 29 traded, with 13 up, six', ""Blue-chip stocks bounded higher Tuesday as the Federal Reserve's decision to keep interest rates unchanged removed a possible roadblock to the market's continued rally.The Dow Jones industrial average closed up 21.82 points at 5,721.26, putting the blue-chip index within a stone's throw of its record closing high of 5,778.00 set"", 'Shanghai B shares ended up in slow trading on Tuesday on bargain-hunting, with investors focussing on interim results, brokers said.The index ended up 0.053 points or 0.10 percent to 51.813 points, on volume of 8.4 million shares worth $3.4 million. Of 41 B shares, 29 traded, with 13 up, six']"
6,153,6_internet_sprint_microsoft_access,"['internet', 'sprint', 'microsoft', 'access', 'software', 'netscape', 'browser', 'computer', 'corp', 'service']","[""Sprint's internet access and software"", '', '', '', '', '', '', '', '', '']","['well.""In our first release we won\'t support the Microsoft browser, but we expect them to be a part of our service shortly,"" Dodd said.In 1992, Sprint became the first long-distance company to offer commercial Internet service, and now offers access to more than 1,000 Internet service providers and to a', 'to Sprint,"" Ahern said. ""We fully expect Sprint will be offering Internet Explorer with their Internet access service."" Earlier Sprint said it would offer Netscape Communications Corp\'s Navigator browser for customers of its new service.But Sprint did not say the relationship was exclusive, and Ahern said he expected an arrangement', 'entry into the market, which included some free access time, sparked a flurry of competition that sent shockwaves through the consumer Internet access business.Sprint\'s service initially will support only the Netscape Navigator search software, but Dodd said the company was taking with Microsoft about including its Explorer ""browser"" software as']"
7,101,7_refugees_army_camp_colonel,"['refugees', 'army', 'camp', 'colonel', 'coup', 'spokesman', 'jean', 'told reuters', 'expulsions', 'reuters']","['""Rwandan Refugee Crisis""', '', '', '', '', '', '', '', '', '']","['after troops killed three refugees at Magara camp. Army spokesman Lieutenant-Colonel Jean Minani confirmed on Tuesday that soldiers killed them but said they fired only after one refugee shot at them.Besides the 24,000 refugees remaining at Magara, another 13,000 are at Rukuramigabo Camp in neighbouring Kirundo province, Paul Stromberg, UNHCR', 'would be punished. ""The president is not going back on his word to protect refugees,"" he said.The exodus of Rwandan refugees back to Rwanda picked up after troops killed three refugees at Magara camp. Refugees accused the army of killing them as part of a campaign of intimidation.Lieutenant-Colonel Jean Minani,', 'back on his word to protect refugees,"" he said.The exodus of Rwandan refugees picked up after troops killed three refugees at Magara camp. Army spokesman Lieutenant-Colonel Jean Minani confirmed on Tuesday that soldiers killed them but said they fired only after one refugee shot at them.Besides the 24,000 refugees remaining']"
8,97,8_iran_oil_turkey_gas,"['iran', 'oil', 'turkey', 'gas', 'iranian', 'project', 'billion', 'deal', 'sanctions', 'cubic']","[""Iran's Energy Deals and Sanctions"", '', '', '', '', '', '', '', '', '']","[""had taken a 30 percent stake in a huge project to develop two oil and gas Siri fields in Iran, the world's third largest oil exporter.The announcement ended a search of more than a year for risk-sharing partners on the $600 million projects.Tehran also said on Tuesday that it had"", ""Iran said it signed on Tuesday a $1.2 billion deal to build a joint oil refinery in Pakistan, appearing again to work around U.S. moves to choke Tehran's oil industry.State-run Tehran radio said the refinery deal was signed in Islamabad by Iran's Oil Minister Gholamreza Aghazadeh and Pakistani Production Minister"", ""signed the Iran-Libya Sanctions Act which will penalise companies that invest $40 million or more a year in oil and gas projects in both states.The radio said Iran's equity share in the Pakistan project would be met by providing technical services and equipment for the refinery which will process Iranian""]"
