cs.IR; Information Retrieval; Covers indexing, dictionaries, retrieval, content and analysis
stat.ME; Methodology; Design, Surveys, Model Selection, Multiple Testing, Multivariate Methods, Signal and Image Processing, Time Series, Smoothing, Spatial Statistics, Survival Analysis, Nonparametric and Semiparametric Methods
quant-ph; Quantum Physics
cs.IT; Information Theory; Covers theoretical and experimental aspects of information theory and coding.
math.IT; Information Theory; math.IT is an alias for cs.IT. Covers theoretical and experimental aspects of information theory and coding.
stat.AP; Applications; Biology, Education, Epidemiology, Engineering, Environmental Sciences, Medical, Physical Sciences, Quality Control, Social Sciences
cs.CV; Computer Vision and Pattern Recognition; Covers image processing, computer vision, pattern recognition, and scene understanding.
cs.CL; Computation and Language; Covers natural language processing. 
cs.AI; Artificial Intelligence; Covers all areas of AI except Vision, Robotics, Machine Learning, Multiagent Systems, and Computation and Language (Natural Language Processing), which have separate subject areas.
math.NA; Numerical Analysis; Numerical algorithms for problems in analysis and algebra, scientific computation
cs.MS; Mathematical Software; 
cs.CR; Cryptography and Security; Covers all areas of cryptography and security including authentication, public key cryptosytems, proof-carrying code, etc.
cs.SE; Software Engineering; Covers design tools, software metrics, testing and debugging, programming environments, etc.
cs.LG; Machine Learning; Papers on all aspects of machine learning research (supervised, unsupervised, reinforcement learning, bandit problems, and so on) including also robustness, explanation, fairness, and methodology. cs.LG is also an appropriate primary category for applications of machine learning methods.
cs.NI; Networking and Internet Architecture; Covers all aspects of computer communication networks, including network architecture and design, network protocols, and internetwork standards (like TCP/IP).
cs.SY; Systems and Control; This section includes theoretical and experimental research covering all facets of automatic control systems. The section is focused on methods of control system analysis and design using tools of modeling, simulation and optimization.
cs.DS; Data Structures and Algorithms; Covers data structures and analysis of algorithms.
cs.CC; Computational Complexity; Covers models of computation, complexity classes, structural complexity, complexity tradeoffs, upper and lower bounds.
cs.FL; Formal Languages and Automata Theory; Covers automata theory, formal language theory, grammars, and combinatorics on words.
cs.RO; Robotics; 
math.OC; Optimization and Control; Operations research, linear programming, control theory, systems theory, optimal control, game theory
cs.MA; Multiagent Systems; Covers multiagent systems, distributed artificial intelligence, intelligent agents, coordinated interactions. and practical applications.
cs.PF; Performance; Covers performance measurement and evaluation, queueing, and simulation.
cs.SI; Social and Information Networks; Covers the design, analysis, and modeling of social and information networks, including their applications for on-line information access, communication, and interaction, and their roles as datasets in the exploration of questions in these and other domains, including connections to the social and biological sciences.
physics.soc-ph; Physics and Society;
cs.DC; Distributed, Parallel, and Cluster Computing; Covers fault-tolerance, distributed algorithms, stabilility, parallel computation, and cluster computing. 
cs.DB; Databases; Covers database management, datamining, and data processing.
math.CO; Combinatorics; Discrete mathematics, graph theory, enumeration, combinatorial optimization, Ramsey theory, combinatorial game theory
stat.ML; Machine Learning; Covers machine learning papers (supervised, unsupervised, semi-supervised learning, graphical models, reinforcement learning, bandits, high dimensional inference, etc.) with a statistical or theoretical grounding
math.PR; Probability; Theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, queuing theory
cs.NE; Neural and Evolutionary Computing; Covers neural networks, connectionism, genetic algorithms, artificial life, adaptive behavior.
cs.DM; Discrete Mathematics; Covers combinatorics, graph theory, applications of probability. 
cond-mat.stat-mech; Statistical Mechanics;
cs.LO; Logic in Computer Science; Covers all aspects of logic in computer science, including finite model theory, logics of programs, modal logic, and program verification. Programming language semantics should have Programming Languages as the primary subject area.
cs.CY; Computers and Society; Covers impact of computers on society, computer ethics, information technology and public policy, legal aspects of computing, computers and education.
cond-mat.dis-nn; Disordered Systems and Neural Networks;
cs.NA; Numerical Analysis; Numerical algorithms for problems in analysis and algebra, scientific computation
cs.CE; Computational Engineering, Finance, and Science; Covers applications of computer science to the mathematical modeling of complex systems in the fields of science, engineering, and finance. Papers here are interdisciplinary and applications-oriented, focusing on techniques and tools that enable challenging computational simulations to be performed, for which the use of supercomputers or distributed computing platforms is often required.
cs.SC; Symbolic Computation; 
cs.GT; Computer Science and Game Theory; Covers all theoretical and applied aspects at the intersection of computer science and game theory, including work in mechanism design, learning in games (which may overlap with Learning), foundations of agent modeling in games (which may overlap with Multiagent systems), coordination, specification and formal methods for non-cooperative computational environments.
cs.HC; Human-Computer Interaction; Covers human factors, user interfaces, and collaborative computing.
q-bio.QM; Quantitative Methods; All experimental, numerical, statistical and mathematical contributions of value to biology
cs.DL; Digital Libraries; Covers all aspects of the digital library design and document and text creation. 
q-bio.NC; Neurons and Cognition; Synapse, cortex, neuronal dynamics, neural network, sensorimotor control, behavior, attention
cs.CG; Computational Geometry; 
cmp-lg; Computation and Language;
cs.PL; Programming Languages; Covers programming language semantics, language features, programming approaches (such as object-oriented programming, functional programming, logic programming).
math.LO; Logic; Logic, set theory, point-set topology, formal mathematics
math.NT; Number Theory; Prime numbers, diophantine equations, analytic number theory, algebraic number theory, arithmetic geometry, Galois theory
cs.MM; Multimedia; Roughly includes material in ACM Subject Class H.5.1.
math.ST; Statistics Theory; Applied, computational and theoretical statistics: e.g. statistical inference, regression, time series, multivariate analysis, data analysis, Markov chain Monte Carlo, design of experiments, case studies
stat.TH; Statistics Theory; stat.TH is an alias for math.ST. Asymptotics, Bayesian Inference, Decision Theory, Estimation, Foundations, Inference, Testing.
nlin.AO; Adaptation and Self-Organizing Systems; Adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, machine learning
physics.data-an; Statistics and Probability;
