Topic,Count,Name,Representation,Llama2,Representative_Docs
-1,2267,-1_said_pct_tonnes_year,"['said', 'pct', 'tonnes', 'year', 'bank', 'oil', 'trade', 'market', 'lt', 'prices']","['Monetary policy and international trade', '', '', '', '', '', '', '', '', '']","['difficult to see which is driving which, but undoubtedly the trade equation between the big three is changing. In 1986, Japanese imports and exports with the EC both grew by around 50 pct in dollar terms, five pct in yen. This gave Japan a 16 billion dlr trade surplus. Last', 'FED ADDS RESERVES VIA CUSTOMER REPURCHASES The Federal Reserve entered the U.S. Government securities market to arrange two billion dlrs of customer repurchase agreements, a Fed spokesman said. Dealers said Federal funds were trading at 6-5/16 pct when the Fed began its temporary and indirect supply of reserves to the', ""CHINA TRYING TO INCREASE COTTON OUTPUT, PAPER SAYS China's 1987 cotton output must rise above the 1986 level of 3.54 mln tonnes or supply will fall short of increasing demand, the China Daily said. Demand in 1986 rose 10.9 pct over 1985. Output in 1986 fell from 4.15 mln tonnes""]"
0,1359,0_dlrs_mln dlrs_mln_000 dlrs,"['dlrs', 'mln dlrs', 'mln', '000 dlrs', 'share', '1986', 'year', 'quarter', 'net', 'vs']","['Financial performance comparison between 1985 and 1986', '', '', '', '', '', '', '', '', '']","['mln Avg shrs 7,224,000 vs 6,731,000 NOTE: 1985 net includes tax credits of 492,000 dlrs in quarter and 2,433,000 dlrs in year. 1985 net both periods excludes 168,000 dlr loss from discontinued operations. 1986 net both periods includes pretax gain 21.8 mln dlrs from sale of remaining interest in Paradise', '143.7 mln NOTE: Net excludes extraordinary tax charges of 115,000 dlrs vs 995,000 dlrs in quarter and credits 8,096,000 dlrs vs 1,173,000 dlrs in year. 1985 year net includes pretax gain 7,400,000 dlrs from termination of pension plan. 1985 net includes pretax charge 1,200,000 dlrs in quarter and gain 1,400,000', '8,991,000 Sales 154.5 mln vs 145.0 mln NOTE: Net excludes losses from discontinued operations of 712,000 dlrs vs 2,843,000 dlrs in quarter and 1,972,000 dlrs vs 10.6 mln dlrs in year. 1986 net excludes extraordinary loss 1,167,000 dlrs in quarter and gain 628,000 dlrs in year. 1986 year net includes']"
1,373,1_shares_stake_common_viacom,"['shares', 'stake', 'common', 'viacom', 'pct', 'lt', 'group', 'stock', 'company', 'purolator']","['Investment firms raising stakes in companies', '', '', '', '', '', '', '', '', '']","['HONG KONG FIRM UPS WRATHER&lt;WCO> STAKE TO 11 PCT Industrial Equity (Pacific) Ltd, a Hong Kong investment firm, said it raised its stake in Wrather Corp to 816,000 shares, or 11.3 pct of the total outstanding common stock, from 453,300 shares, or 6.3 pct. In a filing with the Securities', 'INVESTORS HAVE 5.5 PCT OF DATAREX SYSTEMS &lt;DRX> A small investor group led by Melvyn Gelch, a Providence, R.I., surgeon, told the Securities and Exchange Commission it has acquired 60,840 shares of Datarex Systems Inc, or 5.5 pct of the total outstanding common stock. The Gelch group said it bought', 'INVESTMENT FIRM RAISES CERTRON &lt;CRTN> STAKE Louart Corp, a Los Angeles investment firm, said it raised its stake in Certron Corp to 237,000 shares, or 7.8 pct of the total outstanding common stock, from 164,000 shares, or 5.4 pct. In a filing with the Securities and Exchange Commission, Louart said']"
2,292,2_vs_net_shr_cts,"['vs', 'net', 'shr', 'cts', 'mln vs', 'cts vs', '000 vs', '000', 'revs', 'cts net']","['Financial performance comparison', '', '', '', '', '', '', '', '', '']","['BOOTHE FINANCIAL CORP &lt;BCMP> 4TH QTR NET Shr one ct vs 24 cts Net 43,000 vs 1,032,000 Revs 10 mln vs 4.9 mln Avg shrs 3.7 mln vs 4.3 mln 12 mths Shr 1.02 dlrs vs 1.62 dlrs Net 3,950,000 vs 7,308,000 Revs 30.8 mln vs 33.3 mln Avg shrs', 'WARWICK INSURANCE MANAGERS INC &lt;WIMI> 4TH QTR Oper shr 17 cts vs 19 cts Oper net 636,000 vs 358,000 Revs 10.6 mln vs 7,024,000 Avg shrs 3,808,000 vs 1,924,000 Year Oper shr 73 cts vs 65 cts Oper net 2,467,000 vs 1,199,000 Revs 31.5 mln vs 22.9 mln Avg shrs', 'NORD RESOURCES CORP &lt;NRD> 4TH QTR NET Shr 19 cts vs 13 cts Net 2,656,000 vs 1,712,000 Revs 15.4 mln vs 9,443,000 Avg shrs 14.1 mln vs 12.6 mln Year Shr 98 cts vs 77 cts Net 13.8 mln vs 8,928,000 Revs 58.8 mln vs 48.5 mln Avg shrs 14.0']"
3,242,3_loss_profit_vs loss_vs,"['loss', 'profit', 'vs loss', 'vs', 'vs profit', 'shr loss', 'shr', 'net loss', 'cts', '000 vs']","['Financial performance comparison', '', '', '', '', '', '', '', '', '']","['MUNSINGWEAR INC &lt;MUN> 4TH QTR JAN 3 LOSS Shr loss 32 cts vs loss seven cts Net loss 1,566,000 vs loss 292,000 Revs 39.4 mln vs 34.7 mln Year Shr profit 79 cts vs profit 74 cts Net profit 3,651,000 vs profit 3,020,000 Revs 147.9 mln vs 114.2 mln Avg', 'GTI CORP &lt;GTI> 4TH QTR OPER NET Oper shr profit six cts vs loss two cts Oper net profit 225,000 vs loss 91,000 Revs 4,814,000 vs 3,339,000 Year Oper shr profit 12 cts vs loss two cts Oper net profit 415,000 vs loss 73,000 Revs 16.4 mln vs 16.9 mln', 'LVI GROUP INC &lt;LVI> 4TH QTR NET Oper shr profit two cts vs loss 19 cts Oper net profit 523,000 vs loss 2.2 mln Revs 102.5 mln vs 39.9 mln 12 mths Oper shr profit 11 cts vs loss 29 cts Oper net profit 2.2 mln vs loss 2.9 mln']"
4,203,4_coffee_ico_quotas_brazil,"['coffee', 'ico', 'quotas', 'brazil', 'bags', 'export', 'colombia', 'international coffee', 'talks', 'export quotas']","['Global Coffee Export Quotas in Jeopardy', '', '', '', '', '', '', '', '', '']","['PRODUCER SPLIT HEATS UP COFFEE QUOTA TALKS Talks on the possibility of reintroducing global coffee export quotas have been extended into today, with sparks flying yesterday when a dissident group of exporters was not included in a key negotiating forum. The special meeting of the International Coffee Organization (ICO) council', ""BRAZIL HAS NO SET COFFEE EXPORT TARGETS - IBC Brazil has no set target for its coffee exports following this week's breakdown of International Coffee Organization talks on export quotas, President of the Brazilian Coffee Institute, IBC, Jorio Dauster said. He told a press conference Brazil now had to reconsider"", 'ICO COUNCIL ENDS IN FAILURE TO AGREE QUOTAS A special meeting of the International Coffee Organization (ICO) council failed to agree on how to set coffee export quotas, ICO delegates said. Producers and consumers could not find common ground on the issue of quota distribution in eight days of arduous,']"
5,131,5_tonnes_palm_000 tonnes_soybean,"['tonnes', 'palm', '000 tonnes', 'soybean', 'palm oil', 'indonesia', 'oil', 'mln tonnes', 'soybeans', '000']","['Palm oil imports and availability', '', '', '', '', '', '', '', '', '']","['said there was no sign of a shortage of palm oil in Indonesia. A major palm oil dealer said he shipped Malaysian palm oil to Indonesia in February, additional vessels were loading this month and other vessels had been earmarked for April. Other operators claimed they had palm oil booked', 'PAKISTAN TO TENDER FOR RBD PALM OIL Pakistan will hold an import tender tomorrow for 6,000 tonnes of refined bleached deodorised palm oil for second half March shipments, traders said.', 'PAKISTAN TO RETENDER FOR RBD PALM OIL TOMORROW Pakistan will retender for 6,000 tonnes of refined bleached deodorised palm oil for second half March shipment tomorrow, after failing to take up offers today, palm oil traders said.']"
6,130,6_dividend_split_stock split_stock,"['dividend', 'split', 'stock split', 'stock', 'declared', 'payable', 'record', 'said board', 'record march', 'march']","['Corporate actions: stock splits and dividends', '', '', '', '', '', '', '', '', '']","['BOWNE AND CO INC &lt;BNE> SETS STOCK SPLIT Bowne and Co Inc said its board declared a two-for-one stock split, payable May 10 to holders of record April 17.', 'FIRST FINANCIAL &lt;FFMC> IN STOCK SPLIT First Financial Management Corp said its board declared a three-for-two stock split of its common stock. The split will be effected by a 50 pct stock dividend for shareholders of record March 23 to be distributed on April six.', ""JOULE' INC &lt;JOUL> SETS STOCK SPLIT Joule' Inc said its board declared a three-for-two stock split, payable April 30, record March 31.""]"
7,127,7_prior pay_cts prior_div_prior,"['prior pay', 'cts prior', 'div', 'prior', 'qtly', 'pay', 'qtly div', 'record', 'record march', 'cts']","['Financial reports and dividends', '', '', '', '', '', '', '', '', '']","['MICKELBERRY CORP &lt;MBC> SETS QTLY PAYOUT Qtly div 1-1/2 cts vs 1-1/2 cts prior Pay March 31 Record March 13', 'INSTRON CORP &lt;ISN> SETS QUARTERLY Qtly div three cts vs three cts prior Pay April 2 Record March 16', 'FUQUA INDUSTRIES INC &lt;FQA> SETS QUARTERLY Qtly div six cts vs six cts prior Pay April One Record March 20']"
8,117,8_billion_deficit_surplus_billion dlrs,"['billion', 'deficit', 'surplus', 'billion dlrs', 'trade', 'trade deficit', 'exports', '1986', 'current account', 'dlrs']","['Trade balances and deficits', '', '', '', '', '', '', '', '', '']","[""TURKISH TRADE DEFICIT WIDENS IN 1986 Turkey's trade deficit rose to 3.65 billion dlrs in 1986 from 3.39 billion in 1985 following increased imports from Western countries, figures from the State Statistics Institute show. Exports were down 6.3 pct at 7.45 billion dlrs, compared with 7.95 billion in 1985, while"", ""1985 the invisibles surplus was 5.1 billion stg. The reduced deficit on visible trade in the fourth quarter was due to an increase in the surplus on oil of 200 mln stg and a reduction in the non-oil trade deficit of 100 mln, the CSO said. However, 1986's surplus on"", 'largely to a trade surplus with the U.S. Of 7.1 billion dlrs, against a 4.3 billion deficit in 1985. It earlier forecast that its current account surplus could reach eight billion dlrs this year. But the government official said the surplus would be held at around five billion dlrs to']"
